lista_surowiec_grupa,lista_towar_grupa,lista_usluga_grupa,lista_dlugoterminowe_grupa,lista_dziaÅ‚y,lista_typy,lista_nazwa_wew,lista_typ,lista_grupa,lista_jm_wew,lista_dziaÅ‚,,,,,,,lista_jm
,,,,,,kapusta biaÅ‚a,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,kapusta czerwona,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,kapusta kiszona,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,kasza gryczana surowa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,kasza manna,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,kasza pÄ™czak surowa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,kawa mielona,surowiec,nap_gorace,kg,bar,,,,,,,
,,,,,,kawa rozpuszczalna,surowiec,nap_gorace,kg,bar,,,,,,,
,,,,,,kawa ziarno,surowiec,nap_gorace,kg,bar,,,,,,,
,,,,,,ketchup Å‚agodny,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,ketchup saszetka,surowiec,suchy,szt,kuchnia,,,,,,,
,,,,,,kieÅ‚basa krakowska,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kieÅ‚basa myÅ›liwska,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kieÅ‚basa Å›lÄ…ska,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kieÅ‚baski biaÅ‚e Å›niadaniowe,surowiec,miÄ™so,kg,kuchnia,,,,,,,
,,,,,,kieÅ‚ki buraka,surowiec,warzywo,kg,kuchnia,,,,,,,
,,,,,,kminek caÅ‚y,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,kminek mielony,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,koncentrat barszczu krakus,surowiec,suchy,l,kuchnia,,,,,,,
,,,,,,koncentrat pomidorowy,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,konfitura Å¼urawinowa,surowiec,suchy,kg,kuchnia,,,,,,,
,,,,,,koperek suszony,surowiec,przyprawa,kg,kuchnia,,,,,,,
,,,,,,koperek Å›wieÅ¼y,surowiec,warzywo,kg,kuchnia,,,,,,,
